INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
13;08.11.2020 0:00:00;1;0;90825
14;08.11.2020 0:00:00;1;0;91255
15;08.11.2020 0:00:00;1;0;92767
16;08.11.2020 0:00:00;1;0;94354
17;08.11.2020 0:00:00;1;0;95874
18;08.11.2020 0:00:00;1;0;95383
19;08.11.2020 0:00:00;1;0;93766
20;08.11.2020 0:00:00;1;0;91772
21;08.11.2020 0:00:00;1;0;88894
22;08.11.2020 0:00:00;1;0;84563
23;08.11.2020 0:00:00;1;0;81917
0;09.11.2020 0:00:00;1;0;80143
1;09.11.2020 0:00:00;1;0;79078
2;09.11.2020 0:00:00;1;0;79056
3;09.11.2020 0:00:00;1;0;79204
4;09.11.2020 0:00:00;1;0;81216
5;09.11.2020 0:00:00;1;0;84991
6;09.11.2020 0:00:00;1;0;89984
7;09.11.2020 0:00:00;1;0;93539
8;09.11.2020 0:00:00;1;0;97078
9;09.11.2020 0:00:00;1;0;97734
10;09.11.2020 0:00:00;1;0;97585
11;09.11.2020 0:00:00;1;0;96834
12;09.11.2020 0:00:00;1;0;97050
13;09.11.2020 0:00:00;1;0;96970
14;09.11.2020 0:00:00;1;0;97428
15;09.11.2020 0:00:00;1;0;98121
16;09.11.2020 0:00:00;1;0;99070
17;09.11.2020 0:00:00;1;0;99979
18;09.11.2020 0:00:00;1;0;99413
19;09.11.2020 0:00:00;1;0;97183
20;09.11.2020 0:00:00;1;0;94888
21;09.11.2020 0:00:00;1;0;91481
22;09.11.2020 0:00:00;1;0;87197
23;09.11.2020 0:00:00;1;0;83863
0;10.11.2020 0:00:00;1;0;81879
1;10.11.2020 0:00:00;1;0;80705
2;10.11.2020 0:00:00;1;0;80437
3;10.11.2020 0:00:00;1;0;80848
4;10.11.2020 0:00:00;1;0;82736
5;10.11.2020 0:00:00;1;0;86670
6;10.11.2020 0:00:00;1;0;91252
7;10.11.2020 0:00:00;1;0;94218
8;10.11.2020 0:00:00;1;0;97886
9;10.11.2020 0:00:00;1;0;98521
10;10.11.2020 0:00:00;1;0;98060
11;10.11.2020 0:00:00;1;0;98029
12;10.11.2020 0:00:00;1;0;97678
13;10.11.2020 0:00:00;1;0;97952
14;10.11.2020 0:00:00;1;0;98293
15;10.11.2020 0:00:00;1;0;98917
16;10.11.2020 0:00:00;1;0;100095
17;10.11.2020 0:00:00;1;0;100364
18;10.11.2020 0:00:00;1;0;99611
19;10.11.2020 0:00:00;1;0;97285
